Day,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
45,11491,27993,0.5895045189868896,2066,2810,0.26476868327402137,1222,1011,0.20870425321463904,2013,1897,0.061149182920400724,1553,1115,0.3928251121076234,34,548,0.9379562043795621,4422,271,15.317343173431734,0.6361800022444171,35645,35643,35644,22801,0
46,11550,28303,0.5919160513019821,2184,2879,0.24140326502257725,1287,1013,0.27048371174728536,2095,1998,0.04854854854854862,1594,1133,0.4068843777581641,36,587,0.938671209540034,4672,290,15.110344827586207,0.6412076680846363,36203,36201,36202,23418,0
47,11619,28546,0.592972745743712,2287,2948,0.22421981004070557,1359,1016,0.33759842519685046,2172,2099,0.034778465936160075,1629,1151,0.41529105125977406,36,627,0.9425837320574163,4882,310,14.748387096774193,0.6443481578373664,36697,36695,36696,23984,0
48,11679,28788,0.5943101292205085,2405,3017,0.2028505137553861,1418,1019,0.3915603532875369,2239,2201,0.01726487960018175,1670,1169,0.4285714285714286,37,666,0.9444444444444444,5122,329,14.56838905775076,0.6475475959987093,37189,37187,37188,24570,0
49,11771,29031,0.5945368743756674,2515,3086,0.18502916396629943,1500,1022,0.4677103718199609,2301,2302,0.0004344048653345256,1707,1187,0.4380791912384161,39,705,0.9446808510638298,5357,348,14.39367816091954,0.6503450106157113,37681,37679,37680,25190,0
50,11872,29274,0.5944524151123864,2620,3156,0.16983523447401772,1580,1024,0.54296875,2360,2403,0.017894298793175167,1745,1205,0.4481327800829875,40,744,0.946236559139785,5554,368,14.092391304347826,0.6540486731459408,38174,38172,38173,25771,0
51,11936,29517,0.595622861401904,2740,3225,0.15038759689922476,1641,1027,0.5978578383641675,2431,2505,0.029540918163672658,1790,1223,0.46361406377759606,46,783,0.9412515964240102,5766,387,13.89922480620155,0.6578647907722547,38667,38665,38666,26350,0
52,11997,29760,0.596875,2843,3294,0.13691560412871884,1699,1030,0.649514563106796,2500,2606,0.040675364543361514,1820,1241,0.46655922643029824,47,823,0.9428918590522479,5943,406,13.637931034482758,0.6609208611047269,39160,39158,39159,26849,0
53,12061,30002,0.5979934671021931,2962,3363,0.1192387749033601,1786,1032,0.7306201550387597,2581,2707,0.04654599187292208,1861,1259,0.4781572676727561,50,862,0.9419953596287703,6051,426,13.204225352112676,0.6623203026481715,39651,39649,39650,27352,0
54,12124,30245,0.5991403537774839,3066,3432,0.10664335664335667,1858,1035,0.7951690821256039,2663,2809,0.05197579209683156,1896,1278,0.483568075117371,56,901,0.9378468368479467,6131,445,12.77752808988764,0.6627391390992428,40145,40143,40144,27794,0
